"","bull_threshold","bear_threshold","confirmation_period","ROI","NumberOfTrades"
"1",0.5,0.5,1,23.7146661173262,45
"2",0.55,0.5,1,22.3693304647881,45
"3",0.6,0.5,1,18.2625465413648,43
"4",0.65,0.5,1,12.7628549755418,43
"5",0.7,0.5,1,18.8048686965609,41
"6",0.75,0.5,1,36.2166328257929,37
"7",0.8,0.5,1,91.7558049550714,31
"8",0.85,0.5,1,43.9958259028293,27
"9",0.9,0.5,1,46.9866214059526,21
"10",0.95,0.5,1,0,0
"11",0.5,0.55,1,12.1408611237093,41
"12",0.55,0.55,1,10.9213848618329,41
"13",0.6,0.55,1,7.16363937714659,41
"14",0.65,0.55,1,2.18009233810799,41
"15",0.7,0.55,1,7.6550647486217,39
"16",0.75,0.55,1,23.1694586417625,35
"17",0.8,0.55,1,73.3889481612509,29
"18",0.85,0.55,1,30.2035408980293,25
"19",0.9,0.55,1,34.3422078937683,19
"20",0.95,0.55,1,0,0
"21",0.5,0.6,1,18.4944793889607,37
"22",0.55,0.6,1,17.2059106787666,37
"23",0.6,0.6,1,-0.705169225183054,37
"24",0.65,0.6,1,-5.32278451686012,37
"25",0.7,0.6,1,-9.13124771295028,37
"26",0.75,0.6,1,4.58743254734922,33
"27",0.8,0.6,1,61.086132197175,29
"28",0.85,0.6,1,20.9649462902014,25
"29",0.9,0.6,1,24.8099540941341,19
"30",0.95,0.6,1,0,0
"31",0.5,0.65,1,19.421039156173,35
"32",0.55,0.65,1,18.1223945679269,35
"33",0.6,0.65,1,0.0712601558524875,35
"34",0.65,0.65,1,-4.58246227407939,35
"35",0.7,0.65,1,-7.18041059617239,35
"36",0.75,0.65,1,12.2635385158841,31
"37",0.8,0.65,1,65.7164849586321,27
"38",0.85,0.65,1,24.4420325263324,23
"39",0.9,0.65,1,28.6762023301755,17
"40",0.95,0.65,1,0,0
"41",0.5,0.7,1,7.293276280233,27
"42",0.55,0.7,1,6.12651509994967,27
"43",0.6,0.7,1,-10.0914425173301,27
"44",0.65,0.7,1,-12.3458568763217,27
"45",0.7,0.7,1,-14.7324300313193,27
"46",0.75,0.7,1,3.12951378925278,23
"47",0.8,0.7,1,30.8895063033721,23
"48",0.85,0.7,1,21.6867641270458,19
"49",0.9,0.7,1,19.8915941481101,13
"50",0.95,0.7,1,0,0
"51",0.5,0.75,1,4.73094924058609,19
"52",0.55,0.75,1,3.59205209637934,19
"53",0.6,0.75,1,-4.94954519495228,19
"54",0.65,0.75,1,-7.33289018613945,19
"55",0.7,0.75,1,-9.85595217444646,19
"56",0.75,0.75,1,0.0571271340115891,17
"57",0.8,0.75,1,10.2403032155144,17
"58",0.85,0.75,1,2.48939088812736,13
"59",0.9,0.75,1,14.9794607729321,11
"60",0.95,0.75,1,0,0
"61",0.5,0.8,1,4.73094924058609,19
"62",0.55,0.8,1,3.59205209637934,19
"63",0.6,0.8,1,-4.94954519495228,19
"64",0.65,0.8,1,-7.33289018613945,19
"65",0.7,0.8,1,-9.85595217444646,19
"66",0.75,0.8,1,0.0571271340115891,17
"67",0.8,0.8,1,10.2403032155144,17
"68",0.85,0.8,1,2.48939088812736,13
"69",0.9,0.8,1,14.9794607729321,11
"70",0.95,0.8,1,0,0
"71",0.5,0.85,1,22.9428425336107,15
"72",0.55,0.85,1,21.605900079852,15
"73",0.6,0.85,1,11.5789857972232,15
"74",0.65,0.85,1,8.78119574490846,15
"75",0.7,0.85,1,5.81939300197329,15
"76",0.75,0.85,1,9.86808028026315,15
"77",0.8,0.85,1,21.0497525836478,15
"78",0.85,0.85,1,14.253746114553,11
"79",0.9,0.85,1,14.9794607729321,11
"80",0.95,0.85,1,0,0
"81",0.5,0.9,1,34.593995794625,13
"82",0.55,0.9,1,33.1303528261484,13
"83",0.6,0.9,1,22.153199288965,13
"84",0.65,0.9,1,19.090265857663,13
"85",0.7,0.9,1,15.8477764397195,13
"86",0.75,0.9,1,20.5523657410113,13
"87",0.8,0.9,1,22.0449294242837,13
"88",0.85,0.9,1,-11.3454198551555,11
"89",0.9,0.9,1,-10.7823054669493,11
"90",0.95,0.9,1,0,0
"91",0.5,0.95,1,22.4336487216564,13
"92",0.55,0.95,1,21.102243498129,13
"93",0.6,0.95,1,11.1168578039117,13
"94",0.65,0.95,1,8.33065539144998,13
"95",0.7,0.95,1,5.38111958165096,13
"96",0.75,0.95,1,9.66065694506296,13
"97",0.8,0.95,1,11.0183699441727,13
"98",0.85,0.95,1,-19.3552159668233,11
"99",0.9,0.95,1,-18.842978041285,11
"100",0.95,0.95,1,0,0
"101",0.5,0.5,2,32.2020933217367,7
"102",0.55,0.5,2,39.1831046443011,7
"103",0.6,0.5,2,39.1831046443011,7
"104",0.65,0.5,2,39.1831046443011,7
"105",0.7,0.5,2,-12.618950849144,7
"106",0.75,0.5,2,-2.15093954548367,7
"107",0.8,0.5,2,-22.1420692497295,7
"108",0.85,0.5,2,-22.1420692497295,7
"109",0.9,0.5,2,-20.5550663951734,7
"110",0.95,0.5,2,0,0
"111",0.5,0.55,2,32.2020933217367,7
"112",0.55,0.55,2,39.1831046443011,7
"113",0.6,0.55,2,39.1831046443011,7
"114",0.65,0.55,2,39.1831046443011,7
"115",0.7,0.55,2,-12.618950849144,7
"116",0.75,0.55,2,-2.15093954548367,7
"117",0.8,0.55,2,-22.1420692497295,7
"118",0.85,0.55,2,-22.1420692497295,7
"119",0.9,0.55,2,-20.5550663951734,7
"120",0.95,0.55,2,0,0
"121",0.5,0.6,2,32.2020933217367,7
"122",0.55,0.6,2,39.1831046443011,7
"123",0.6,0.6,2,39.1831046443011,7
"124",0.65,0.6,2,39.1831046443011,7
"125",0.7,0.6,2,-12.618950849144,7
"126",0.75,0.6,2,-2.15093954548367,7
"127",0.8,0.6,2,-22.1420692497295,7
"128",0.85,0.6,2,-22.1420692497295,7
"129",0.9,0.6,2,-20.5550663951734,7
"130",0.95,0.6,2,0,0
"131",0.5,0.65,2,4.0363620937875,5
"132",0.55,0.65,2,9.53006498068211,5
"133",0.6,0.65,2,9.53006498068211,5
"134",0.65,0.65,2,9.53006498068211,5
"135",0.7,0.65,2,-31.2355331055958,5
"136",0.75,0.65,2,-31.2355331055958,5
"137",0.8,0.65,2,-42.6726862246061,5
"138",0.85,0.65,2,-42.6726862246061,5
"139",0.9,0.65,2,-41.5041654364362,5
"140",0.95,0.65,2,0,0
"141",0.5,0.7,2,4.38272421468097,3
"142",0.55,0.7,2,9.89471696240085,3
"143",0.6,0.7,2,9.89471696240085,3
"144",0.65,0.7,2,9.89471696240085,3
"145",0.7,0.7,2,9.89471696240085,3
"146",0.75,0.7,2,9.89471696240085,3
"147",0.8,0.7,2,-6.29789312234672,3
"148",0.85,0.7,2,-6.29789312234672,3
"149",0.9,0.7,2,-7.24266049021331,3
"150",0.95,0.7,2,0,0
"151",0.5,0.75,2,4.38272421468097,3
"152",0.55,0.75,2,9.89471696240085,3
"153",0.6,0.75,2,9.89471696240085,3
"154",0.65,0.75,2,9.89471696240085,3
"155",0.7,0.75,2,9.89471696240085,3
"156",0.75,0.75,2,9.89471696240085,3
"157",0.8,0.75,2,-6.29789312234672,3
"158",0.85,0.75,2,-6.29789312234672,3
"159",0.9,0.75,2,-7.24266049021331,3
"160",0.95,0.75,2,0,0
"161",0.5,0.8,2,4.38272421468097,3
"162",0.55,0.8,2,9.89471696240085,3
"163",0.6,0.8,2,9.89471696240085,3
"164",0.65,0.8,2,9.89471696240085,3
"165",0.7,0.8,2,9.89471696240085,3
"166",0.75,0.8,2,9.89471696240085,3
"167",0.8,0.8,2,-6.29789312234672,3
"168",0.85,0.8,2,-6.29789312234672,3
"169",0.9,0.8,2,-7.24266049021331,3
"170",0.95,0.8,2,0,0
"171",0.5,0.85,2,6.61327094339189,1
"172",0.55,0.85,2,6.61327094339189,1
"173",0.6,0.85,2,6.61327094339189,1
"174",0.65,0.85,2,6.61327094339189,1
"175",0.7,0.85,2,6.61327094339189,1
"176",0.75,0.85,2,6.61327094339189,1
"177",0.8,0.85,2,6.61327094339189,1
"178",0.85,0.85,2,6.61327094339189,1
"179",0.9,0.85,2,3.2980438411298,1
"180",0.95,0.85,2,0,0
"181",0.5,0.9,2,6.61327094339189,1
"182",0.55,0.9,2,6.61327094339189,1
"183",0.6,0.9,2,6.61327094339189,1
"184",0.65,0.9,2,6.61327094339189,1
"185",0.7,0.9,2,6.61327094339189,1
"186",0.75,0.9,2,6.61327094339189,1
"187",0.8,0.9,2,6.61327094339189,1
"188",0.85,0.9,2,6.61327094339189,1
"189",0.9,0.9,2,3.2980438411298,1
"190",0.95,0.9,2,0,0
"191",0.5,0.95,2,6.61327094339189,1
"192",0.55,0.95,2,6.61327094339189,1
"193",0.6,0.95,2,6.61327094339189,1
"194",0.65,0.95,2,6.61327094339189,1
"195",0.7,0.95,2,6.61327094339189,1
"196",0.75,0.95,2,6.61327094339189,1
"197",0.8,0.95,2,6.61327094339189,1
"198",0.85,0.95,2,6.61327094339189,1
"199",0.9,0.95,2,3.2980438411298,1
"200",0.95,0.95,2,0,0
"201",0.5,0.5,3,-34.0770326904645,3
"202",0.55,0.5,3,-34.0770326904645,3
"203",0.6,0.5,3,-34.0770326904645,3
"204",0.65,0.5,3,-34.0770326904645,3
"205",0.7,0.5,3,-35.5442422972212,3
"206",0.75,0.5,3,-35.5442422972212,3
"207",0.8,0.5,3,-37.5438492165599,3
"208",0.85,0.5,3,-37.5438492165599,3
"209",0.9,0.5,3,-43.5115771960888,3
"210",0.95,0.5,3,0,0
"211",0.5,0.55,3,-42.6230895857194,3
"212",0.55,0.55,3,-42.6230895857194,3
"213",0.6,0.55,3,-42.6230895857194,3
"214",0.65,0.55,3,-42.6230895857194,3
"215",0.7,0.55,3,-43.9000945143746,3
"216",0.75,0.55,3,-43.9000945143746,3
"217",0.8,0.55,3,-45.6404783556534,3
"218",0.85,0.55,3,-45.6404783556534,3
"219",0.9,0.55,3,-50.8345678760853,3
"220",0.95,0.55,3,0,0
"221",0.5,0.6,3,-42.6230895857194,3
"222",0.55,0.6,3,-42.6230895857194,3
"223",0.6,0.6,3,-42.6230895857194,3
"224",0.65,0.6,3,-42.6230895857194,3
"225",0.7,0.6,3,-43.9000945143746,3
"226",0.75,0.6,3,-43.9000945143746,3
"227",0.8,0.6,3,-45.6404783556534,3
"228",0.85,0.6,3,-45.6404783556534,3
"229",0.9,0.6,3,-50.8345678760853,3
"230",0.95,0.6,3,0,0
"231",0.5,0.65,3,-42.6230895857194,3
"232",0.55,0.65,3,-42.6230895857194,3
"233",0.6,0.65,3,-42.6230895857194,3
"234",0.65,0.65,3,-42.6230895857194,3
"235",0.7,0.65,3,-43.9000945143746,3
"236",0.75,0.65,3,-43.9000945143746,3
"237",0.8,0.65,3,-45.6404783556534,3
"238",0.85,0.65,3,-45.6404783556534,3
"239",0.9,0.65,3,-50.8345678760853,3
"240",0.95,0.65,3,0,0
"241",0.5,0.7,3,3.50458071942881,1
"242",0.55,0.7,3,3.50458071942881,1
"243",0.6,0.7,3,3.50458071942881,1
"244",0.65,0.7,3,3.50458071942881,1
"245",0.7,0.7,3,3.50458071942881,1
"246",0.75,0.7,3,3.50458071942881,1
"247",0.8,0.7,3,3.2980438411298,1
"248",0.85,0.7,3,3.2980438411298,1
"249",0.9,0.7,3,1.20148127027602,1
"250",0.95,0.7,3,0,0
"251",0.5,0.75,3,3.50458071942881,1
"252",0.55,0.75,3,3.50458071942881,1
"253",0.6,0.75,3,3.50458071942881,1
"254",0.65,0.75,3,3.50458071942881,1
"255",0.7,0.75,3,3.50458071942881,1
"256",0.75,0.75,3,3.50458071942881,1
"257",0.8,0.75,3,3.2980438411298,1
"258",0.85,0.75,3,3.2980438411298,1
"259",0.9,0.75,3,1.20148127027602,1
"260",0.95,0.75,3,0,0
"261",0.5,0.8,3,3.50458071942881,1
"262",0.55,0.8,3,3.50458071942881,1
"263",0.6,0.8,3,3.50458071942881,1
"264",0.65,0.8,3,3.50458071942881,1
"265",0.7,0.8,3,3.50458071942881,1
"266",0.75,0.8,3,3.50458071942881,1
"267",0.8,0.8,3,3.2980438411298,1
"268",0.85,0.8,3,3.2980438411298,1
"269",0.9,0.8,3,1.20148127027602,1
"270",0.95,0.8,3,0,0
"271",0.5,0.85,3,3.50458071942881,1
"272",0.55,0.85,3,3.50458071942881,1
"273",0.6,0.85,3,3.50458071942881,1
"274",0.65,0.85,3,3.50458071942881,1
"275",0.7,0.85,3,3.50458071942881,1
"276",0.75,0.85,3,3.50458071942881,1
"277",0.8,0.85,3,3.2980438411298,1
"278",0.85,0.85,3,3.2980438411298,1
"279",0.9,0.85,3,1.20148127027602,1
"280",0.95,0.85,3,0,0
"281",0.5,0.9,3,3.50458071942881,1
"282",0.55,0.9,3,3.50458071942881,1
"283",0.6,0.9,3,3.50458071942881,1
"284",0.65,0.9,3,3.50458071942881,1
"285",0.7,0.9,3,3.50458071942881,1
"286",0.75,0.9,3,3.50458071942881,1
"287",0.8,0.9,3,3.2980438411298,1
"288",0.85,0.9,3,3.2980438411298,1
"289",0.9,0.9,3,1.20148127027602,1
"290",0.95,0.9,3,0,0
"291",0.5,0.95,3,3.50458071942881,1
"292",0.55,0.95,3,3.50458071942881,1
"293",0.6,0.95,3,3.50458071942881,1
"294",0.65,0.95,3,3.50458071942881,1
"295",0.7,0.95,3,3.50458071942881,1
"296",0.75,0.95,3,3.50458071942881,1
"297",0.8,0.95,3,3.2980438411298,1
"298",0.85,0.95,3,3.2980438411298,1
"299",0.9,0.95,3,1.20148127027602,1
"300",0.95,0.95,3,0,0
